---NASA PVT+ V1.5.6-B2626 SINGLE TRIAL PVT DATA---
STUDY NAME:,OfficialPPGSleep
STUDY GROUP:,KarlenDay2
SUBJECT ID:,Karlen3
TRIAL:,1
TRIAL DATE TIME:,08-14-2025 20:12
HANDEDNESS:,RIGHT
IOS DEVICE:,iPhone14,7
IOS VERSION:,18.5
LATENCY OFFSET:, SEE DOCUMENTATION
PVT LENGTH (SEC):,600
PVT TIMEOUT (SEC):,10
TIMEOUT AUDIO ALARM:,FALSE
TIMEOUT HAPTIC ALARM:,FALSE
---DATA---
Reaction Time(ms),Elapsed Times(sec)
349,7.21
325,13.46
363,16.84
462,19.20
321,21.65
343,30.25
375,33.85
367,37.10
334,43.91
364,46.46
380,53.54
272,62.93
325,68.26
340,75.14
336,84.21
553,86.74
322,90.15
342,98.13
318,102.45
296,110.86
334,116.69
333,125.14
436,127.45
340,132.50
317,136.88
420,140.96
348,144.83
316,150.11
339,159.56
318,167.13
293,173.68
351,178.13
331,182.29
354,188.19
433,197.57
318,207.15
350,214.83
364,221.79
343,226.87
340,230.92
287,240.43
420,246.58
365,252.92
290,262.05
342,268.23
348,272.06
304,280.26
334,286.92
406,290.48
295,295.48
379,302.97
359,311.62
311,314.68
FS,320.04
315,325.07
419,330.12
419,336.21
348,343.91
335,351.20
423,353.63
344,358.48
311,367.46
356,373.09
357,382.58
FS,383.56
368,391.42
304,398.85
365,402.71
382,411.01
382,414.44
352,420.06
346,427.05
329,430.22
345,437.49
455,444.06
333,448.99
348,454.31
406,457.76
499,467.82
323,476.80
394,483.56
386,490.39
387,493.42
345,499.30
331,505.99
443,508.37
FS,508.50
347,513.85
394,517.01
492,521.69
531,526.99
493,529.44
384,532.25
389,538.56
400,542.71
325,551.32
364,556.76
440,559.68
338,565.59
327,570.14
339,577.43
375,579.62
356,589.54
398,592.74
462,598.22
364,601.58
