---NASA PVT+ V1.5.6-B2626 SINGLE TRIAL PVT DATA---
STUDY NAME:,OfficialPPGSleep
STUDY GROUP:,Karlenner
SUBJECT ID:,Karlencho6
TRIAL:,1
TRIAL DATE TIME:,08-22-2025 23:15
HANDEDNESS:,RIGHT
IOS DEVICE:,iPhone14,7
IOS VERSION:,18.5
LATENCY OFFSET:, SEE DOCUMENTATION
PVT LENGTH (SEC):,600
PVT TIMEOUT (SEC):,10
TIMEOUT AUDIO ALARM:,FALSE
TIMEOUT HAPTIC ALARM:,FALSE
---DATA---
Reaction Time(ms),Elapsed Times(sec)
325,4.35
282,14.32
265,21.12
267,30.00
291,36.43
312,41.01
291,45.36
387,53.47
391,62.63
310,67.79
336,73.20
343,77.85
FS,79.23
368,86.89
323,94.47
340,104.14
329,107.73
287,117.67
393,122.20
318,128.85
303,136.51
305,144.97
302,153.71
375,160.23
281,168.31
314,175.43
421,182.41
312,186.56
383,195.10
349,198.70
272,203.28
435,207.70
357,214.19
351,218.27
281,226.78
355,231.68
259,236.98
305,243.71
FS,243.79
312,250.70
291,257.93
345,264.61
338,274.60
351,284.33
313,292.42
481,294.72
298,298.72
524,301.71
424,309.06
343,311.29
319,316.85
307,319.50
389,322.08
321,326.21
336,335.62
365,339.77
323,345.35
371,355.45
335,360.31
371,364.16
334,367.81
376,373.29
430,375.54
393,378.23
315,382.37
272,391.89
364,394.19
533,397.72
441,402.87
344,412.35
397,416.28
351,418.83
301,428.77
359,432.53
401,436.18
324,445.07
352,450.27
331,460.01
324,467.62
571,470.90
349,477.65
444,483.96
427,486.53
349,490.33
323,494.82
313,499.95
391,505.23
323,509.50
329,514.71
381,522.42
304,530.62
FS,532.53
359,535.91
339,540.09
394,542.89
310,550.11
309,554.83
380,558.97
302,565.47
296,572.47
300,582.14
351,588.74
343,593.13
251,600.78
