---NASA PVT+ V1.5.6-B2626 SINGLE TRIAL PVT DATA---
STUDY NAME:,OfficialPPGSleep
STUDY GROUP:,Karlenner
SUBJECT ID:,Karlen4
TRIAL:,1
TRIAL DATE TIME:,08-22-2025 20:08
HANDEDNESS:,RIGHT
IOS DEVICE:,iPhone14,7
IOS VERSION:,18.5
LATENCY OFFSET:, SEE DOCUMENTATION
PVT LENGTH (SEC):,600
PVT TIMEOUT (SEC):,10
TIMEOUT AUDIO ALARM:,FALSE
TIMEOUT HAPTIC ALARM:,FALSE
---DATA---
Reaction Time(ms),Elapsed Times(sec)
434,2.78
288,12.24
329,19.64
353,21.87
453,24.30
307,32.50
555,35.15
334,38.49
306,45.05
370,49.26
300,53.03
295,56.79
277,64.08
294,73.71
300,79.22
351,86.93
357,95.93
319,104.47
829,107.26
326,111.46
FS,116.90
285,125.95
354,133.46
311,140.36
306,144.97
350,148.07
300,152.53
368,155.66
314,158.64
377,166.46
321,170.24
306,175.57
354,181.49
366,184.57
327,189.42
317,197.69
343,206.85
383,212.56
315,217.65
306,225.74
322,229.21
389,233.25
297,241.17
431,243.47
310,247.88
335,257.61
349,260.96
337,268.58
357,274.00
334,279.86
380,285.63
328,293.26
345,296.96
358,299.64
287,302.91
283,306.91
314,312.69
320,321.23
342,325.09
274,332.29
319,338.84
289,345.12
296,349.47
324,352.25
245,355.77
317,362.65
401,367.73
434,369.99
491,378.19
255,381.94
290,385.02
414,387.70
303,392.58
332,398.72
274,406.35
277,412.94
FS,415.19
FS,415.60
290,422.15
396,426.72
307,431.46
330,438.60
349,442.20
293,449.30
472,452.15
414,454.86
300,462.44
273,467.63
385,477.59
382,486.10
300,493.07
298,501.04
304,505.96
292,514.31
FS,520.62
323,525.00
333,532.39
307,540.27
312,548.01
313,557.66
344,563.65
361,569.10
319,577.44
314,583.95
FS,585.61
FS,585.68
FS,586.03
308,590.26
289,598.36
329,606.11
